rebalance_date,hold_end,period_return,n_stocks
2020-02-28,2020-03-31,-0.018064626792427638,59
2020-03-31,2020-04-30,0.054909315045432706,60
2020-04-30,2020-05-29,0.009829921367796864,59
2020-05-29,2020-06-30,0.03950090078818377,58
2020-06-30,2020-07-31,0.06397112669384404,60
2020-07-31,2020-08-31,0.007569087661716139,60
2020-08-31,2020-09-30,-0.024367409571282146,59
2020-09-30,2020-10-30,-0.003949304665217339,60
2020-10-30,2020-11-30,0.017772145608498498,60
2020-11-30,2020-12-31,-0.006042063634187183,60
2020-12-31,2021-01-29,-0.025256109051391157,60
2021-01-29,2021-02-26,0.031195071036835473,60
2021-02-26,2021-03-31,-0.003132150213508533,60
2021-03-31,2021-04-30,0.013118108928875605,60
2021-04-30,2021-05-31,0.045606197125325404,60
2021-05-31,2021-06-30,0.015340179123984422,60
2021-06-30,2021-07-30,-0.009210693456095662,60
2021-07-30,2021-08-31,0.016393166310852223,60
2021-08-31,2021-09-30,0.007856114638986743,60
2021-09-30,2021-10-29,0.004695746922940327,60
2021-10-29,2021-11-30,0.03230028214045581,60
2021-11-30,2021-12-31,0.02876426007680362,60
2021-12-31,2022-01-28,-0.03525260763150572,60
2022-01-28,2022-02-28,0.029167957542985082,59
2022-02-28,2022-03-31,-0.0278011797342194,60
2022-03-31,2022-04-29,-0.03251399491871469,60
2022-04-29,2022-05-31,0.06899407184561289,60
2022-05-31,2022-06-30,0.03405116322282645,60
2022-06-30,2022-07-29,0.014571332564679044,58
2022-07-29,2022-08-31,-0.005689711584610808,60
2022-08-31,2022-09-30,-0.0346678892625157,59
2022-09-30,2022-10-31,0.005068434546163292,60
2022-10-31,2022-11-30,0.08595335122395045,60
2022-11-30,2022-12-30,-0.013792688661312367,60
2022-12-30,2023-01-31,0.05478405484606325,60
2023-01-31,2023-02-28,0.021160432217758998,60
2023-02-28,2023-03-31,-0.026675066826603797,60
2023-03-31,2023-04-28,-0.01354105121316375,60
2023-04-28,2023-05-31,-0.00046701038186062007,60
2023-05-31,2023-06-30,0.013159327719437224,60
2023-06-30,2023-07-31,0.010574344444708537,60
2023-07-31,2023-08-31,-0.018035173344936543,60
2023-08-31,2023-09-28,-0.00475742075215783,60
2023-09-28,2023-10-31,-0.01685418254660229,60
2023-10-31,2023-11-30,0.018736151055002884,60
2023-11-30,2023-12-29,-0.004397211041457346,60
2023-12-29,2024-01-31,-0.04486408650292792,60
2024-01-31,2024-02-29,0.048519794013723506,60
2024-02-29,2024-03-29,0.036026291550419844,60
2024-03-29,2024-04-30,0.00886897654662611,60
2024-04-30,2024-05-31,-0.006626957808609435,60
2024-05-31,2024-06-28,-0.02719850226820016,60
2024-06-28,2024-07-31,0.019085243074072975,60
2024-07-31,2024-08-30,-0.014708309761415307,60
2024-08-30,2024-09-30,0.10830157853416408,60
2024-09-30,2024-10-31,0.018336534722092533,60
2024-10-31,2024-11-29,0.01239841372542495,60
2024-11-29,2024-12-31,-0.02146455254261142,60
2024-12-31,2025-01-27,-0.014413733970633093,60
2025-01-27,2025-02-28,0.03926815626812257,60
2025-02-28,2025-03-31,0.011073590362431437,60
2025-03-31,2025-04-30,-0.016962755583664096,59
2025-04-30,2025-05-30,0.046174734628809055,60
2025-05-30,2025-06-30,0.0319858202994983,60
2025-06-30,2025-07-31,0.02176708648321499,60
2025-07-31,2025-08-29,0.04843292107891315,60
2025-08-29,2025-09-30,-0.015430901446089437,60
2025-09-30,2025-10-31,0.014162705104450089,59
2025-10-31,2025-11-28,-0.016744940934177815,60
2025-11-28,2025-12-31,0.028054144392219642,60
2025-12-31,2026-01-30,0.027051581214605356,59
2026-01-30,2026-02-27,0.020272460208436392,60
