rebalance_date,hold_end,period_return,n_stocks
2020-02-28,2020-03-31,-0.011893058705669852,39
2020-03-31,2020-04-30,0.05828618545814044,40
2020-04-30,2020-05-29,0.009167858824226324,39
2020-05-29,2020-06-30,0.04182305956533271,38
2020-06-30,2020-07-31,0.06470611702707225,40
2020-07-31,2020-08-31,0.01280650169986454,40
2020-08-31,2020-09-30,-0.023303974062341047,40
2020-09-30,2020-10-30,-0.007566009384523042,40
2020-10-30,2020-11-30,0.026723455097991632,40
2020-11-30,2020-12-31,-0.0032890969590669283,40
2020-12-31,2021-01-29,-0.023955376078074693,40
2021-01-29,2021-02-26,0.02869499750692575,40
2021-02-26,2021-03-31,0.0006468225141458099,40
2021-03-31,2021-04-30,0.021697792162995385,40
2021-04-30,2021-05-31,0.047228407980933286,40
2021-05-31,2021-06-30,0.02580559202348811,40
2021-06-30,2021-07-30,-0.0223310355264211,40
2021-07-30,2021-08-31,0.004181663727588534,40
2021-08-31,2021-09-30,0.003601175894933266,40
2021-09-30,2021-10-29,0.00877000627313956,40
2021-10-29,2021-11-30,0.023093054192586594,40
2021-11-30,2021-12-31,0.030755797068082243,40
2021-12-31,2022-01-28,-0.03439223027079663,40
2022-01-28,2022-02-28,0.025747882683573132,39
2022-02-28,2022-03-31,-0.022933551773910193,40
2022-03-31,2022-04-29,-0.0343339042054045,40
2022-04-29,2022-05-31,0.07290157502826808,40
2022-05-31,2022-06-30,0.03096903584034173,40
2022-06-30,2022-07-29,0.006989716038319269,38
2022-07-29,2022-08-31,-0.0015086942875637485,40
2022-08-31,2022-09-30,-0.03373733104978377,39
2022-09-30,2022-10-31,0.00695122581049191,40
2022-10-31,2022-11-30,0.09533736619264657,40
2022-11-30,2022-12-30,-0.01375740400976313,40
2022-12-30,2023-01-31,0.05385291648760069,40
2023-01-31,2023-02-28,0.023026535131000135,40
2023-02-28,2023-03-31,-0.025025652303697066,40
2023-03-31,2023-04-28,-0.01591726120991474,40
2023-04-28,2023-05-31,-0.0049135615462373924,40
2023-05-31,2023-06-30,0.015044733978908997,40
2023-06-30,2023-07-31,0.008361728618509257,40
2023-07-31,2023-08-31,-0.01526606647292796,40
2023-08-31,2023-09-28,-0.0038255311742787985,40
2023-09-28,2023-10-31,-0.016454158964500518,40
2023-10-31,2023-11-30,0.02329019718901632,40
2023-11-30,2023-12-29,0.001210727862280301,40
2023-12-29,2024-01-31,-0.04563333091093444,40
2024-01-31,2024-02-29,0.051146326375775805,40
2024-02-29,2024-03-29,0.0333623877621724,40
2024-03-29,2024-04-30,0.010824481909339805,40
2024-04-30,2024-05-31,-0.0041038873897237,40
2024-05-31,2024-06-28,-0.02194561138755722,40
2024-06-28,2024-07-31,0.02486564595307435,40
2024-07-31,2024-08-30,-0.01705090174469625,40
2024-08-30,2024-09-30,0.10339259909645988,40
2024-09-30,2024-10-31,0.0312105791700245,40
2024-10-31,2024-11-29,0.009585511361387767,40
2024-11-29,2024-12-31,-0.02387017727388478,40
2024-12-31,2025-01-27,-0.02406095785273075,40
2025-01-27,2025-02-28,0.03497841916715221,40
2025-02-28,2025-03-31,0.00531782009399774,40
2025-03-31,2025-04-30,-0.019466948101164196,39
2025-04-30,2025-05-30,0.04087318015385865,40
2025-05-30,2025-06-30,0.027800758891298915,40
2025-06-30,2025-07-31,0.021655628017885557,40
2025-07-31,2025-08-29,0.05381375921505771,40
2025-08-29,2025-09-30,-0.017751864143706296,40
2025-09-30,2025-10-31,0.01551123305609035,40
2025-10-31,2025-11-28,-0.01446757966627372,40
2025-11-28,2025-12-31,0.03479043443732658,40
2025-12-31,2026-01-30,0.030384233520294474,39
2026-01-30,2026-02-27,0.01999180568449442,40
