month,return,n_stocks
202001,0.15868749096799084,10
202002,0.2396573199496837,10
202003,-0.29049770412304604,10
202004,-0.016869520092059005,10
202005,0.0809070744513199,10
202006,0.19388165476550084,10
202007,1.8007488086952979,10
202008,-0.22074281814172264,10
202009,-0.11306960010962741,10
202010,-0.05014973108539553,10
202011,-0.021808999651091253,10
202012,0.010019152359047285,10
202101,-0.22980605638370918,10
202102,-0.09094345841978048,10
202103,0.15812542944633584,10
202104,0.008473064480558292,10
202105,0.10659556834889528,10
202106,0.17423368678131337,10
202107,0.03134899980458297,10
202108,0.06100894182922964,10
202109,0.20608738251984257,10
202110,0.15102090555280295,10
202111,-0.026164829971205564,10
202112,0.11457623171634065,10
202201,-0.21069546886255064,10
202202,0.027056735936615246,10
202203,0.048015519913551984,10
202204,-0.1760151663792167,10
202205,0.13216253534078942,10
202206,-0.09948494116564176,10
202207,0.08730834580617507,10
202208,-0.3310612763368054,10
202209,-0.2278427008670507,10
202210,-0.10575986122403302,10
202211,-0.009590704411023178,10
202212,-0.12446777104075231,10
202301,-0.17474048634061431,10
202302,-0.1321555265985146,10
202303,0.1608134817559075,10
202304,0.26056577858056823,10
202305,-0.09015501542228914,10
202306,-0.009879208644668933,10
202307,-0.19152455027248505,10
202308,-0.06173061206980684,10
202309,0.28546501826987075,10
202310,-0.060185849363137346,10
202311,-0.0010400154950875144,10
202312,-0.06414399586480758,10
202401,-0.3691200637705776,10
202402,0.015057153843803604,10
202403,0.031163741970785412,10
202404,0.09373550844340962,10
202405,-0.06684066608274267,10
202406,-0.08784296811083554,10
202407,-0.031059387941595216,10
202408,-0.044008750672647146,10
202409,0.046084168608366394,10
202410,0.2610038555078367,10
202411,-0.2527608606741892,10
202412,-0.20339540747578377,10
202501,0.061038808960756294,10
202502,0.06727408400008854,10
202503,-0.12026074837601003,10
202504,-0.1250127304631724,10
202505,0.0852992080104251,10
202506,0.019986176376718526,10
202507,0.028367037797308172,10
202508,0.11100526084198338,10
202509,-0.08278353988471028,10
202510,0.0745847600234518,10
202511,0.14509657880197227,10
202512,0.10686653734119053,10
202601,0.026960205862390188,10
202602,-0.06515167384412127,10
202603,-0.017522001571321964,10
