trade_date,ts_code,alpha_score,rank
20200102,000955.SZ,2.337269063866052,1
20200102,000009.SZ,2.2733907127961395,2
20200102,601168.SH,2.2492740239665374,3
20200102,002970.SZ,2.221617440180572,4
20200102,300173.SZ,2.2198377437020063,5
20200102,000716.SZ,2.1705790959463296,6
20200102,600061.SH,2.0958884955883543,7
20200102,600039.SH,1.9814791663339941,8
20200102,002261.SZ,1.9781381270054619,9
20200102,000818.SZ,1.9730053254396775,10
20200103,000955.SZ,2.2513643090980318,1
20200103,600223.SH,2.2481812885220234,2
20200103,000716.SZ,2.1997943605340486,3
20200103,002970.SZ,2.1787776395230223,4
20200103,300173.SZ,2.176219470079742,5
20200103,300259.SZ,2.171340182494222,6
20200103,601168.SH,2.0771422664153896,7
20200103,002466.SZ,2.0700098770500497,8
20200103,002291.SZ,2.0467299374176076,9
20200103,002654.SZ,2.020023042678684,10
20200106,002970.SZ,2.38619362383547,1
20200106,000955.SZ,2.236007641800788,2
20200106,002972.SZ,2.169127845826842,3
20200106,000716.SZ,2.132199540275826,4
20200106,002497.SZ,2.1254697457478864,5
20200106,600223.SH,2.1013843581853195,6
20200106,300259.SZ,2.0607119186708727,7
20200106,002466.SZ,2.0488560493483026,8
20200106,300173.SZ,2.047701331311641,9
20200106,002428.SZ,2.028003215825264,10
20200107,002970.SZ,2.4021241930922486,1
20200107,300259.SZ,2.2288555099888017,2
20200107,000998.SZ,2.213366302824642,3
20200107,002041.SZ,2.2060165673816066,4
20200107,300811.SZ,2.2039597568976315,5
20200107,002972.SZ,2.2039597568976315,6
20200107,002428.SZ,2.1915876283642866,7
20200107,000009.SZ,2.16962987123445,8
20200107,000716.SZ,2.161797536651539,9
20200107,600223.SH,2.1362341148782846,10
20200108,002970.SZ,2.316527242016053,1
20200108,002385.SZ,2.25026412122342,2
20200108,002972.SZ,2.227350876900746,3
20200108,300811.SZ,2.227350876900746,4
20200108,002041.SZ,2.225633527315004,5
20200108,002239.SZ,2.1555742191369958,6
20200108,002428.SZ,2.1538713946290704,7
20200108,000998.SZ,2.0940566955466107,8
20200108,000009.SZ,2.055646344279604,9
20200108,300063.SZ,2.0280575428717142,10
20200109,300811.SZ,2.304973386203734,1
20200109,002972.SZ,2.304973386203734,2
20200109,002970.SZ,2.299942954217726,3
20200109,002385.SZ,2.2349358859460056,4
20200109,002041.SZ,2.1710167360617665,5
20200109,600546.SH,2.1374621969298584,6
20200109,002510.SZ,2.1294110152688908,7
20200109,002239.SZ,2.123203616343311,8
20200109,000998.SZ,2.10673437868167,9
20200109,300465.SZ,2.0684281997059415,10
20200110,600546.SH,2.1823348385952515,1
20200110,002056.SZ,2.1528697696902452,2
20200110,002972.SZ,2.1440585518971615,3
20200110,300811.SZ,2.1440585518971615,4
20200110,300465.SZ,2.1093210780972744,5
20200110,002510.SZ,2.085581037194653,6
20200110,300063.SZ,2.083570503544663,7
20200110,000700.SZ,2.0428931144176663,8
20200110,002385.SZ,2.0235315571894175,9
20200110,002688.SZ,1.9711964733185272,10
20200113,600546.SH,2.2642951178537265,1
20200113,300465.SZ,2.198787655120303,2
20200113,002056.SZ,2.179332010032382,3
20200113,002973.SZ,2.1569964062860465,4
20200113,300811.SZ,2.1569964062860465,5
20200113,000700.SZ,2.1399337676069443,6
20200113,300063.SZ,2.0699211882824686,7
20200113,600699.SH,2.0178793371739814,8
20200113,002510.SZ,1.9797936070695603,9
20200113,300087.SZ,1.9681293770333348,10
20200114,600546.SH,2.2321519794828224,1
20200114,002466.SZ,2.1737958482900823,2
20200114,002056.SZ,2.1632116052353916,3
20200114,000700.SZ,2.1560375950785406,4
20200114,002973.SZ,2.0917969501942277,5
20200114,300811.SZ,2.0917969501942277,6
20200114,300264.SZ,2.0284746569116527,7
20200114,002277.SZ,2.022744704728572,8
20200114,300063.SZ,2.0080732144575806,9
20200114,002497.SZ,1.9957634377764202,10
20200115,000700.SZ,2.281789012848618,1
20200115,600546.SH,2.2369766491899363,2
20200115,300811.SZ,2.180762014659342,3
20200115,002973.SZ,2.180762014659342,4
20200115,002065.SZ,2.098707632339426,5
20200115,002666.SZ,2.079052888885223,6
20200115,002056.SZ,2.0593744720588525,7
20200115,002291.SZ,2.0313838205416035,8
20200115,002497.SZ,2.024792065049094,9
20200115,002717.SZ,2.0082155783262583,10
20200116,000700.SZ,2.2876190760776756,1
20200116,000998.SZ,2.1434351331212977,2
20200116,600546.SH,2.140542597803041,3
20200116,002065.SZ,2.1316699574501112,4
20200116,300811.SZ,2.119938852447973,5
20200116,002973.SZ,2.119938852447973,6
20200116,000818.SZ,2.052393920491338,7
20200116,002056.SZ,2.0494199609933084,8
20200116,002428.SZ,1.9919280107394244,9
20200116,002291.SZ,1.9838001369551095,10
20200117,000700.SZ,2.2908992489837736,1
20200117,600114.SH,2.2875241650846116,2
20200117,300465.SZ,2.209092725737283,3
20200117,002065.SZ,2.157919600857583,4
20200117,300346.SZ,2.151602662739601,5
20200117,002973.SZ,2.110457631313563,6
20200117,002291.SZ,2.083901619958194,7
20200117,002074.SZ,2.081114049924981,8
20200117,000818.SZ,2.0364801940834907,9
20200117,300811.SZ,2.0335827898446586,10
20200120,000700.SZ,2.309178119830498,1
20200120,002074.SZ,2.1783573896962007,2
20200120,600114.SH,2.1526182733677324,3
20200120,002971.SZ,2.1352725184131143,4
20200120,002973.SZ,2.1352725184131143,5
20200120,002291.SZ,2.004089855009027,6
20200120,002115.SZ,1.9934589128973081,7
20200120,300346.SZ,1.9616615342052215,8
20200120,300465.SZ,1.9518605397203117,9
20200120,603888.SH,1.9364540973211288,10
20200121,000700.SZ,2.329679593428331,1
20200121,002973.SZ,2.210460567791129,2
20200121,002971.SZ,2.210460567791129,3
20200121,002074.SZ,2.1458137556516412,4
20200121,300433.SZ,2.0925037531458086,5
20200121,002603.SZ,2.0736533818121314,6
20200121,600546.SH,2.0557103854018597,7
20200121,000818.SZ,2.044694081945594,8
20200121,000078.SZ,2.0122499114283,9
20200121,300346.SZ,1.982281269873144,10
20200122,000700.SZ,2.319824607849784,1
20200122,600789.SH,2.262277452083195,2
20200122,002971.SZ,2.130398770414103,3
20200122,300182.SZ,2.1014842102848776,4
20200122,300433.SZ,2.093005648681218,5
20200122,000518.SZ,2.051624494553011,6
20200122,300147.SZ,2.0387721915766917,7
20200122,002973.SZ,2.021112810382115,8
20200122,002030.SZ,1.9947074653364905,9
20200122,002603.SZ,1.9927382788468884,10
20200123,000700.SZ,2.311057989454986,1
20200123,300147.SZ,2.288848474031667,2
20200123,600789.SH,2.2680636439614354,3
20200123,000518.SZ,2.154843766625555,4
20200123,000078.SZ,2.152254169534792,5
20200123,002971.SZ,2.143942889362072,6
20200123,002074.SZ,2.1420534211565174,7
20200123,002603.SZ,2.1336342968425854,8
20200123,002030.SZ,2.1125208092997037,9
20200123,002635.SZ,2.085728883004054,10
20200203,688278.SH,2.13378598301646,1
20200203,002971.SZ,2.13378598301646,2
20200203,000700.SZ,2.0854257364608353,3
20200203,300147.SZ,2.0813314263842013,4
20200203,002074.SZ,1.99762244033692,5
20200203,300390.SZ,1.9686998873726338,6
20200203,000955.SZ,1.9562472537549798,7
20200203,002603.SZ,1.9413256330045467,8
20200203,002635.SZ,1.9240320369719621,9
20200203,000518.SZ,1.8780101796933955,10
20200204,688278.SH,2.2619436940965603,1
20200204,002971.SZ,2.2619436940965603,2
20200204,000518.SZ,2.1445429424342506,3
20200204,002603.SZ,2.134286121792198,4
20200204,002030.SZ,2.110138962281361,5
20200204,000078.SZ,2.1031179148574712,6
20200204,002074.SZ,2.081981143261689,7
20200204,300039.SZ,2.0695636604628986,8
20200204,600789.SH,2.0483095810289647,9
20200204,300147.SZ,2.0416242694983997,10
20200205,002971.SZ,2.1227077018970473,1
20200205,600789.SH,2.1019470973980496,2
20200205,002030.SZ,2.1007756693583515,3
20200205,300158.SZ,2.085135716838649,4
20200205,002074.SZ,2.073479402636223,5
20200205,300390.SZ,2.0689289991106894,6
20200205,002603.SZ,2.0684278874052633,7
20200205,000518.SZ,2.0673767088974144,8
20200205,000078.SZ,2.044090327097064,9
20200205,300039.SZ,2.017555323754873,10
20200206,002030.SZ,2.134740142849759,1
20200206,300158.SZ,2.1217523910771545,2
20200206,600699.SH,2.105871259971748,3
20200206,002635.SZ,2.027574173312524,4
20200206,688158.SH,2.019366702014909,5
20200206,688278.SH,2.019366702014909,6
20200206,002971.SZ,2.019366702014909,7
20200206,002074.SZ,2.0097848671562644,8
20200206,002432.SZ,2.0040332850347453,9
20200206,300390.SZ,2.0004269287560006,10
20200207,002971.SZ,2.345291108907845,1
20200207,000700.SZ,2.237823185412794,2
20200207,600789.SH,2.1407428033162423,3
20200207,600699.SH,2.1150572828892615,4
20200207,300160.SZ,2.109974418417707,5
20200207,300123.SZ,2.1069446554914255,6
20200207,000518.SZ,2.097408118245049,7
20200207,002635.SZ,2.0868008382217815,8
20200207,002030.SZ,2.0865142473245917,9
20200207,300158.SZ,2.076149259225344,10
20200210,002971.SZ,2.446879071976161,1
20200210,600699.SH,2.225708362674167,2
20200210,000700.SZ,2.220579409737254,3
20200210,000955.SZ,2.210414132626728,4
20200210,000016.SZ,2.1732546269849604,5
20200210,688158.SH,2.164994299981576,6
20200210,688100.SH,2.164994299981576,7
20200210,300123.SZ,2.1379394064559625,8
20200210,600866.SH,2.1377873590639243,9
20200210,300160.SZ,2.1327799473782614,10
20200211,603290.SH,2.2786296960055723,1
20200211,688158.SH,2.2786296960055723,2
20200211,000016.SZ,2.1806751017029815,3
20200211,300123.SZ,2.1516180789657193,4
20200211,300160.SZ,2.150195077451243,5
20200211,000652.SZ,2.132905558619575,6
20200211,601698.SH,2.1201384466531867,7
20200211,000700.SZ,2.1146594758150004,8
20200211,600699.SH,2.090307317535176,9
20200211,300390.SZ,2.0770461239032065,10
20200212,002239.SZ,2.2707613129644186,1
20200212,000016.SZ,2.1796345543577775,2
20200212,603290.SH,2.1702795392685488,3
20200212,002975.SZ,2.1702795392685488,4
20200212,688158.SH,2.1702795392685488,5
20200212,601698.SH,2.1549899861231996,6
20200212,000652.SZ,2.137486993325247,7
20200212,300342.SZ,2.0184887052859612,8
20200212,300390.SZ,1.9823312251687972,9
20200212,300051.SZ,1.979445780998183,10
20200213,002239.SZ,2.24418753652325,1
20200213,600438.SH,2.2421069161600005,2
20200213,000016.SZ,2.208233708826608,3
20200213,300390.SZ,2.205981621861742,4
20200213,601698.SH,2.1731899170229845,5
20200213,300123.SZ,2.1239619775193526,6
20200213,603195.SH,2.093043591955514,7
20200213,688158.SH,2.093043591955514,8
20200213,603290.SH,2.093043591955514,9
20200213,002975.SZ,2.093043591955514,10
20200214,688158.SH,2.504376668032991,1
20200214,002239.SZ,2.29620557043636,2
20200214,300160.SZ,2.2871604481151935,3
20200214,300390.SZ,2.280360128004941,4
20200214,000016.SZ,2.2509635870215945,5
20200214,600438.SH,2.245698978105613,6
20200214,603993.SH,2.1574331279233663,7
20200214,002483.SZ,2.153067058333153,8
20200214,603893.SH,2.1430603381259274,9
20200214,002975.SZ,2.1430603381259274,10
20200217,688158.SH,2.346276312887402,1
20200217,300160.SZ,2.310395291719657,2
20200217,600438.SH,2.3006949609459517,3
20200217,002239.SZ,2.2629132232402944,4
20200217,600598.SH,2.250617917544387,5
20200217,002975.SZ,2.2283253611731895,6
20200217,603893.SH,2.2283253611731895,7
20200217,603195.SH,2.2283253611731895,8
20200217,603290.SH,2.2283253611731895,9
20200217,300045.SZ,2.0954041929681417,10
20200218,688158.SH,2.33780513036579,1
20200218,002975.SZ,2.331709345464369,2
20200218,603195.SH,2.331709345464369,3
20200218,603893.SH,2.331709345464369,4
20200218,603290.SH,2.331709345464369,5
20200218,002239.SZ,2.300415987593604,6
20200218,300160.SZ,2.285095018489744,7
20200218,600438.SH,2.2220991209285574,8
20200218,600267.SH,2.220102436940178,9
20200218,002483.SZ,2.124433828580177,10
20200219,002239.SZ,2.287356425752652,1
20200219,300160.SZ,2.287356425752652,2
20200219,300230.SZ,2.204466309808927,3
20200219,603893.SH,2.2037008966220055,4
20200219,002975.SZ,2.2037008966220055,5
20200219,603290.SH,2.2037008966220055,6
20200219,603195.SH,2.2037008966220055,7
20200219,300390.SZ,2.1008201303020817,8
20200219,002056.SZ,2.0829906624996437,9
20200219,000016.SZ,2.0450223253677104,10
20200220,603195.SH,2.344242648487229,1
20200220,603893.SH,2.344242648487229,2
20200220,002975.SZ,2.344242648487229,3
20200220,300820.SZ,2.344242648487229,4
20200220,603290.SH,2.344242648487229,5
20200220,300160.SZ,2.2987201609180827,6
20200220,002328.SZ,2.2937189899716843,7
20200220,002239.SZ,2.266482454631971,8
20200220,002023.SZ,2.159470017821122,9
20200220,300230.SZ,2.1454241986281324,10
20200221,300820.SZ,2.426613965565619,1
20200221,603195.SH,2.426613965565619,2
20200221,002975.SZ,2.426613965565619,3
20200221,603893.SH,2.426613965565619,4
20200221,300160.SZ,2.388028197332698,5
20200221,002328.SZ,2.388028197332698,6
20200221,002516.SZ,2.190625901604943,7
20200221,000016.SZ,2.162798151733026,8
20200221,002239.SZ,2.1530109459877833,9
20200221,002056.SZ,2.1375986484516454,10
20200224,002975.SZ,2.7588957439498043,1
20200224,300820.SZ,2.4247006868245795,2
20200224,603893.SH,2.4247006868245795,3
20200224,002516.SZ,2.233937030666872,4
20200224,000158.SZ,2.143850344100098,5
20200224,002429.SZ,2.1365155088460535,6
20200224,002056.SZ,2.1027843490672438,7
20200224,002023.SZ,2.1003414655170385,8
20200224,300102.SZ,2.075789310748264,9
20200224,002239.SZ,2.0657582940099415,10
20200225,300820.SZ,2.173181064013833,1
20200225,603893.SH,2.173181064013833,2
20200225,002160.SZ,2.152412311865227,3
20200225,002413.SZ,2.132662944568877,4
20200225,002023.SZ,2.1295710228267626,5
20200225,002429.SZ,2.1174080188797073,6
20200225,000158.SZ,2.095022521821339,7
20200225,300102.SZ,2.0919848436855046,8
20200225,002613.SZ,2.0817552029533624,9
20200225,002255.SZ,2.079919611214612,10
20200226,002160.SZ,2.3053162172804837,1
20200226,000652.SZ,2.2168004092230915,2
20200226,300820.SZ,2.181664346044446,3
20200226,600210.SH,2.170789486759106,4
20200226,002239.SZ,2.166781893504406,5
20200226,002429.SZ,2.147806023391145,6
20200226,002255.SZ,2.114396601246158,7
20200226,002613.SZ,2.0978860885504926,8
20200226,000973.SZ,2.041289119532108,9
20200226,000955.SZ,1.9720983550767337,10
20200227,002160.SZ,2.2702866672751414,1
20200227,000652.SZ,2.2496776803457257,2
20200227,002613.SZ,2.224571945788997,3
20200227,002662.SZ,2.165671843013628,4
20200227,002255.SZ,2.165580244574797,5
20200227,002239.SZ,2.1553943920310634,6
20200227,000636.SZ,2.117972358792216,7
20200227,002838.SZ,2.1131604540535855,8
20200227,002429.SZ,2.0725890849792306,9
20200227,600210.SH,2.047035439657475,10
20200228,000652.SZ,2.1491324316801124,1
20200228,600039.SH,2.1035992073712784,2
20200228,600416.SH,2.058875111489855,3
20200228,002486.SZ,2.025184733930355,4
20200228,600210.SH,2.0186224821188756,5
20200228,002255.SZ,2.0183234342563345,6
20200228,000955.SZ,2.012586721832209,7
20200228,002214.SZ,1.957554939037356,8
20200228,002551.SZ,1.9517199885096141,9
20200228,002158.SZ,1.9327522017470204,10
20200302,000652.SZ,2.3697387784813784,1
20200302,000955.SZ,2.272412628263777,2
20200302,002551.SZ,2.2214116903357466,3
20200302,600416.SH,2.065480468409644,4
20200302,002838.SZ,2.0493739168031753,5
20200302,002214.SZ,2.0337543772482065,6
20200302,000158.SZ,2.0308174621999604,7
20200302,600063.SH,1.9963417067538753,8
20200302,002486.SZ,1.9891981790173647,9
20200302,300217.SZ,1.957132862466164,10
20200303,600039.SH,2.4324552766326315,1
20200303,000652.SZ,2.25721338054914,2
20200303,300820.SZ,2.2541565591343273,3
20200303,300217.SZ,2.1566740965904403,4
20200303,002838.SZ,1.9934396638442677,5
20200303,002432.SZ,1.9618512508647463,6
20200303,002214.SZ,1.946910358825797,7
20200303,002158.SZ,1.9138307278955486,8
20200303,600126.SH,1.8957814888348135,9
20200303,300263.SZ,1.8643378129177077,10
20200304,300820.SZ,2.586913364511944,1
20200304,600039.SH,2.45395966503103,2
20200304,300217.SZ,2.2169338171366237,3
20200304,000652.SZ,2.202876447688686,4
20200304,002838.SZ,2.0032558954115376,5
20200304,002158.SZ,1.9494558522868004,6
20200304,002432.SZ,1.9342772459873354,7
20200304,300063.SZ,1.9147774220891216,8
20200304,000030.SZ,1.8688000942656877,9
20200304,002062.SZ,1.845862534349383,10
20200305,300820.SZ,2.543593370568221,1
20200305,688177.SH,2.4690589475338016,2
20200305,600039.SH,2.409121211346047,3
20200305,002432.SZ,2.2920568573275832,4
20200305,002154.SZ,2.176887158093903,5
20200305,002158.SZ,2.112143712231321,6
20200305,000652.SZ,2.052307743300983,7
20200305,300217.SZ,2.037550605015343,8
20200305,300160.SZ,1.9435024795235882,9
20200305,002062.SZ,1.9330506041430688,10
20200306,300820.SZ,2.5770277746457304,1
20200306,002154.SZ,2.3641912933724893,2
20200306,002255.SZ,2.293598509412206,3
20200306,002158.SZ,2.1309807806617647,4
20200306,300063.SZ,2.1150339557558633,5
20200306,000652.SZ,2.1124394811718625,6
20200306,600143.SH,2.0949783727842317,7
20200306,600416.SH,2.0698457824028096,8
20200306,002062.SZ,2.034550553266209,9
20200306,600039.SH,2.0316402863487384,10
20200309,300820.SZ,2.5712355221879237,1
20200309,688177.SH,2.449912038958904,2
20200309,002154.SZ,2.3159589926280697,3
20200309,002062.SZ,2.187466918002356,4
20200309,002075.SZ,2.055491067947084,5
20200309,600089.SH,2.0299709543860622,6
20200309,600810.SH,1.9981553944479704,7
20200309,002498.SZ,1.9766314375607787,8
20200309,002334.SZ,1.974238242144263,9
20200309,600550.SH,1.9699160405674287,10
20200310,300820.SZ,2.513659410126174,1
20200310,002551.SZ,2.3501526696377324,2
20200310,002432.SZ,2.2847925303573713,3
20200310,000652.SZ,2.2001544620570725,4
20200310,002838.SZ,2.170940392817062,5
20200310,002075.SZ,2.0988472442637907,6
20200310,002062.SZ,2.090402350728065,7
20200310,601126.SH,2.080494659282033,8
20200310,000016.SZ,2.0761409570556526,9
20200310,600550.SH,2.0624042997838656,10
20200311,002432.SZ,2.3083640767372176,1
20200311,002551.SZ,2.229732557946369,2
20200311,002075.SZ,2.1822799024139927,3
20200311,000016.SZ,2.1527091224487305,4
20200311,600550.SH,2.144566931306531,5
20200311,002838.SZ,2.1239743701109766,6
20200311,002596.SZ,2.0977592584153695,7
20200311,000420.SZ,2.065699186709328,8
20200311,002305.SZ,2.050705989975659,9
20200311,002171.SZ,2.0378115380764195,10
20200312,002432.SZ,2.3060919938094657,1
20200312,002551.SZ,2.295649682128382,2
20200312,600550.SH,2.2523238605074654,3
20200312,600126.SH,2.232504514912616,4
20200312,002075.SZ,2.1654342372995083,5
20200312,600498.SH,2.0720009140245828,6
20200312,002030.SZ,2.0675141297335817,7
20200312,000420.SZ,2.045116324922897,8
20200312,002596.SZ,2.044322671609208,9
20200312,300342.SZ,2.0393278978157454,10
20200313,002551.SZ,2.2560148352153133,1
20200313,002432.SZ,2.239336315977431,2
20200313,002030.SZ,2.2299801597480875,3
20200313,002976.SZ,2.224853062371838,4
20200313,600550.SH,2.1946806160954173,5
20200313,002075.SZ,2.1763655811764306,6
20200313,600089.SH,2.1001183002373858,7
20200313,600312.SH,2.0623940372885508,8
20200313,600126.SH,2.044410137461908,9
20200313,300247.SZ,2.0401747805573427,10
20200316,002976.SZ,2.4089500933412626,1
20200316,002551.SZ,2.267428299057769,2
20200316,002030.SZ,2.2643645464181654,3
20200316,300054.SZ,2.2401340269099803,4
20200316,002075.SZ,2.2000207561939993,5
20200316,600550.SH,2.1940216291177093,6
20200316,002169.SZ,2.148126202257518,7
20200316,600498.SH,2.0694605461414466,8
20200316,300002.SZ,2.0314168672143995,9
20200316,600089.SH,2.0143650648425253,10
20200317,002976.SZ,2.4084257379368563,1
20200317,600039.SH,2.3959535642241483,2
20200317,002169.SZ,2.2964281898665218,3
20200317,600312.SH,2.2910551745479553,4
20200317,600089.SH,2.2613332712567553,5
20200317,300363.SZ,2.227659296645331,6
20200317,002075.SZ,2.2048437302014072,7
20200317,002498.SZ,2.1643020165117504,8
20200317,300453.SZ,2.0866518034119914,9
20200317,300054.SZ,2.0840639016408042,10
20200318,002976.SZ,2.3583654817329793,1
20200318,002030.SZ,2.345505636655001,2
20200318,600312.SH,2.302288923076356,3
