策略,年化收益,夏普比率,最大回撤,胜率,总收益
动量因子组合,2.5061996146518286,0.02886159943136129,-96.50768711191901,44.0,-80.10991522054874
反转因子组合,13.363887794362578,0.3135293578501512,-50.14285294935272,50.66666666666667,34.87555018840101
单因子 momentum_20,-19.67494245547877,-0.28811415877850743,-95.41560450506627,41.333333333333336,-91.84283329193262
单因子反转 -momentum_20,58.818677383563326,0.6818614110348754,-53.66088303267777,57.333333333333336,715.6079999537683
