month,return,n_stocks
202001,-0.1380251358757032,8
202002,1.5131205628443363,9
202003,-0.1282734476484264,8
202004,-0.1598162857747576,9
202005,-0.06318266005430972,8
202006,0.2745573535638761,10
202007,1.0610339908754831,10
202008,-0.030911412346652067,9
202009,-0.1262707975598698,10
202010,-0.031261762995809295,10
202011,0.34799408789018904,9
202012,0.3948745926293684,10
202101,-0.043056431282072705,10
202102,0.1827587864980884,8
202103,0.08388587532225933,9
202104,0.02054514323574219,9
202105,0.04063174788725332,10
202106,0.05658274973664201,10
202107,0.1789048459041791,10
202108,-0.047174706357276386,10
202109,0.03057500343338826,10
202110,-0.026999220480672603,10
202111,0.018539671195035856,10
202112,0.025719131099084303,10
202201,-0.16845615768488853,10
202202,0.0675792198762335,10
202203,-0.05997901261564942,10
202204,-0.20411169325479184,10
202205,0.06067309949973998,10
202206,0.04692421233283994,10
202207,0.021761482078740402,10
202208,0.07661103296097482,10
202209,-0.12504552164733718,10
202210,0.10321690792489369,10
202211,0.125679004973702,10
202212,-0.08070137928698573,10
202301,0.01857482452724346,10
202302,9.199274787086154e-05,10
202303,-0.04582589450067942,10
202304,-0.03491622785620807,10
202305,-0.052573289979035875,10
202306,0.17037290846561914,10
202307,-0.07574423260907448,10
202308,0.022316403697588028,10
202309,-0.07201152615205964,10
202310,-0.016434441471287253,10
202311,0.102625966257615,10
202312,0.041034920085307514,10
202401,-0.25615832841823627,10
202402,0.19199405891705146,10
202403,0.08570376494150689,10
202404,0.014835814153247862,10
202405,0.011600472727838707,10
202406,-0.04007887307041014,10
202407,0.3532516755855919,10
202408,-0.019028774116022107,10
202409,0.304769745863402,10
202410,0.26845070728158626,10
202411,-0.09643190778010735,10
202412,-0.2674469338770531,10
202501,0.046467020716456586,10
202502,0.08901790395202558,10
202503,0.027270634591811005,10
202504,-0.1631610229624979,10
202505,0.08314508873836468,10
202506,-0.029083813959448812,10
202507,-0.048988689870827495,10
202508,0.048402457949536126,10
202509,-0.11190625140056354,10
202510,0.07947905143382261,10
202511,0.008465754514157986,10
202512,-0.009816918767744376,10
202601,-0.28808415225195594,10
202602,0.015116903669108561,10
202603,0.021967667802319513,10
