month,return,n_stocks,position
202001,0.03737842717304907,6,0.35
202002,0.8455764450914378,11,0.6416666666666666
202003,0.0,0,0.0
202004,0.011149491184732074,9,0.5249999999999999
202005,0.0641177703667779,9,0.5249999999999999
202006,0.08485380690721289,8,0.4666666666666666
202007,0.45921104498542586,11,0.6416666666666666
202008,0.0616162206402775,8,0.4666666666666666
202009,0.011849591836061713,4,0.2333333333333333
202010,-0.007047727583447738,5,0.29166666666666663
202011,0.23522984471664943,9,0.5249999999999999
202012,0.3147587279329298,8,0.4666666666666666
202101,0.014500521229027008,7,0.40833333333333327
202102,0.04000443304808865,7,0.40833333333333327
202103,0.19952726398763287,7,0.40833333333333327
202104,0.46462376026684726,8,0.4666666666666666
202105,0.09825216583510166,9,0.5249999999999999
202106,0.007185107916487299,6,0.35
202107,0.1778843293676502,8,0.4666666666666666
202108,0.947766725414865,10,0.5833333333333333
202109,-0.005375731698689545,5,0.29166666666666663
202110,0.006531331202227708,8,0.2333333333333333
202111,0.020947208299749498,10,0.29166666666666663
202112,0.03459414238272163,11,0.3208333333333333
202201,-0.0006404158678894323,7,0.20416666666666664
202202,0.020199330450250574,10,0.29166666666666663
202203,-0.006862819537273079,9,0.26249999999999996
202204,0.00045813161886409937,4,0.11666666666666665
202205,0.016810911500606762,11,0.3208333333333333
202206,0.022343021458848034,10,0.29166666666666663
202207,0.011310492799156524,10,0.29166666666666663
202208,-0.008204678287505263,8,0.2333333333333333
202209,0.003531347916708061,5,0.14583333333333331
202210,-0.008981571054482274,12,0.35
202211,0.057028544891744026,9,0.26249999999999996
202212,-0.011627592807970322,10,0.29166666666666663
202301,0.017668723920755358,12,0.35
202302,-0.004693231319453095,12,0.35
202303,0.025491180299006544,11,0.3208333333333333
202304,0.008334443987781492,11,0.3208333333333333
202305,-0.009702624260886195,5,0.21773197639726172
202306,0.04145019658376459,12,0.51579435881658
202307,0.07722745018521149,7,0.2793667267550262
202308,-0.0042674819789569884,10,0.31542200756702204
202309,-0.014852891009459968,8,0.25402349854772416
202310,0.0014804415501981083,8,0.24762367793358125
202311,0.011099590894263489,12,0.37123515035787036
202312,-0.007499873171682214,10,0.3139052876506903
202401,-0.0009455640679888466,5,0.155280214951167
202402,0.07158392059953389,12,0.3710170727522584
202403,0.010414419769361638,10,0.29166666666666663
202404,-0.059262899234855726,10,0.29166666666666663
202405,0.007560944551409765,8,0.2333333333333333
202406,0.012818324795239588,9,0.26249999999999996
202407,0.06573793935892658,11,0.3208333333333333
202408,-0.010041341631956024,10,0.29166666666666663
202409,0.12295559772812403,12,0.35
202410,0.020685606323559202,12,0.35
202411,0.020551822287893096,11,0.3208333333333333
202412,-0.0018488813996371256,9,0.26249999999999996
202501,0.012982996291175386,10,0.29166666666666663
202502,0.007046245293668596,12,0.35
202503,-0.015402969426698387,11,0.3208333333333333
202504,-0.033186811096832525,10,0.29166666666666663
202505,0.027058993889178318,11,0.3208333333333333
202506,-0.0037688893168332793,12,0.35
202507,0.0011457341926746079,10,0.29166666666666663
202508,0.03652999128561829,11,0.3208333333333333
202509,0.012562077028216434,12,0.35
202510,0.006005133694305664,12,0.35
202511,-0.0019647357852318192,10,0.29166666666666663
202512,0.007715244533999854,8,0.2333333333333333
202601,-0.04990517223155355,12,0.35
202602,0.021570522037062778,12,0.35
202603,-0.007300542669886445,12,0.35
