month,return,n_stocks
202001,0.00018021005412753024,10
202002,0.050069029127007954,10
202003,-0.2246120051402005,10
202004,0.03257954419742419,10
202005,-0.055162082909225,10
202006,0.11963298059067867,10
202007,0.09441678773227388,10
202008,-0.053584497210055704,10
202009,-0.09112045624937457,10
202010,0.03138236480562141,10
202011,0.07540588910437439,10
202012,-0.05256819242137865,10
202101,-0.08307389503296583,10
202102,-0.0006869887312609066,10
202103,-0.06177899126720217,10
202104,-0.05202628539827007,10
202105,0.1623128470372357,10
202106,-0.026468613649106115,10
202107,0.011661696851431754,10
202108,0.12975288074278524,10
202109,-0.044771378337608414,10
202110,-0.023987794683034015,10
202111,-0.03700024899256109,10
202112,-0.021786493873495006,10
202201,-0.10702399534252399,10
202202,-0.015224255231296068,10
202203,-0.12783703842449043,10
202204,-0.14392056809925058,10
202205,-0.04116400068947659,10
202206,0.10016132845616832,10
202207,-0.011316387764824052,10
202208,-0.1942285122124352,10
202209,-0.10310007137025701,10
202210,-0.13869598347780895,10
202211,-0.04621299596523768,10
202212,-0.11539311014549096,10
202301,0.016159142531156724,10
202302,-0.023911842797327186,10
202303,0.0689388740758059,10
202304,-0.03723507820075386,10
202305,-0.11246303732801015,10
202306,0.06515616122083943,10
202307,-0.06954104190997035,10
202308,-0.09560461321955999,10
202309,-0.014286374496928902,10
202310,-0.017497007744266414,10
202311,0.014572386543399703,10
202312,-0.08022407117134644,10
202401,-0.16258357276350147,10
202402,0.06914947129264302,10
202403,-0.06867705320156817,10
202404,0.004892178989914965,10
202405,-0.09757320722953192,10
202406,-0.005945656557653835,10
202407,-0.004439098385721538,10
202408,-0.06690594511816557,10
202409,0.03593463729715935,10
202410,0.004359123533291432,10
202411,-0.20666922756448944,10
202412,-0.14547864039090597,10
202501,-0.028491274580994007,10
202502,0.2207804340387363,10
202503,-0.10247909166120604,10
202504,-0.08391155416071323,10
202505,-0.06947770437586907,10
202506,0.04200069834095237,10
202507,-0.039370140429692176,10
202508,0.18561988856120218,10
202509,0.02951843280826079,10
202510,-0.08525462582727564,10
202511,0.06991830524862393,10
202512,0.029377509260475696,10
202601,0.08351817567911714,10
202602,0.09067923066761611,10
202603,-0.0001823481309189759,10
