simulation_id,top_n,stop_loss,max_position,target_vol,annual_return,sharpe,max_drawdown,win_rate,total_return
1,48,0.14464527617639664,0.12039461351385095,0.23002678879495433,0.0,0,0.0,0.0,0.0
2,38,0.11499773307427952,0.1410624003540304,0.2672685494767544,0.0,0,0.0,0.0,0.0
3,24,0.10802279451210534,0.1124761271043251,0.2558078391168305,0.0,0,0.0,0.0,0.0
4,17,0.24378122453247975,0.08358658571498351,0.21695529697688784,0.0,0,0.0,0.0,0.0
5,30,0.22707147161433847,0.13251073314226597,0.2796324266511253,0.0,0,0.0,0.0,0.0
6,48,0.1532357785694081,0.08630592121950906,0.23372103743907943,0.0,0,0.0,0.0,0.0
7,28,0.24352013276896844,0.053422811082052914,0.23098587592533187,0.0,0,0.0,0.0,0.0
8,32,0.2015154856636455,0.13306545065652498,0.15512816489087372,0.0,0,0.0,0.0,0.0
9,20,0.17237814244639638,0.08451921448812756,0.29800394705357425,0.0,0,0.0,0.0,0.0
10,20,0.17395384866577074,0.127383452320134,0.168445621279444,0.0,0,0.0,0.0,0.0
11,33,0.11249266167928895,0.08627578946659455,0.18466963686414697,0.0,0,0.0,0.0,0.0
12,45,0.11375562208877217,0.13610680199747216,0.15775452558622904,0.0,0,0.0,0.0,0.0
13,49,0.19036613888516785,0.07195105250809587,0.24600044502553706,0.0,0,0.0,0.0,0.0
14,33,0.1830554578518701,0.14745472651988697,0.183705176545902,0.0,0,0.0,0.0,0.0
15,12,0.13190918425363435,0.12797587747880307,0.17700156562090852,0.0,0,0.0,0.0,0.0
16,31,0.24192918143225353,0.061423792592039686,0.1632833376334862,0.0,0,0.0,0.0,0.0
17,11,0.21719440757068037,0.10657766199665604,0.16549634356860235,0.0,0,0.0,0.0,0.0
18,33,0.1170196903026172,0.14853673122417346,0.2377006050663883,0.0,0,0.0,0.0,0.0
19,39,0.2396393658530939,0.09710654526938144,0.25323117987998933,0.0,0,0.0,0.0,0.0
20,47,0.24613723128016152,0.06821071388215832,0.20960684826966014,0.0,0,0.0,0.0,0.0
21,11,0.24938968630454936,0.09847783671503461,0.22198456223881097,0.0,0,0.0,0.0,0.0
22,30,0.10838067320160251,0.10124576558819216,0.2528951603974476,0.0,0,0.0,0.0,0.0
23,42,0.21055533351865133,0.12416869442286656,0.15260696852782193,0.0,0,0.0,0.0,0.0
24,21,0.18188736552474835,0.11988458531609043,0.19846959856054178,0.0,0,0.0,0.0,0.0
25,31,0.20587472258180417,0.09025500435969805,0.29596466221055195,0.0,0,0.0,0.0,0.0
26,34,0.24529779159612022,0.07180231074940865,0.2370168344543202,0.0,0,0.0,0.0,0.0
27,36,0.20320450152625585,0.11450541677693295,0.188133686984624,0.0,0,0.0,0.0,0.0
28,37,0.22554458113560608,0.09217039345532818,0.22825950699543196,0.0,0,0.0,0.0,0.0
29,25,0.2300303057966262,0.06322762111253304,0.2013980232181373,0.0,0,0.0,0.0,0.0
30,24,0.22577211456459775,0.14005723012363855,0.22983674832394485,0.0,0,0.0,0.0,0.0
31,12,0.16391372125704118,0.11912218576096543,0.16886122677099732,0.0,0,0.0,0.0,0.0
32,46,0.1333864626356546,0.11831838564454814,0.1699071980728916,0.0,0,0.0,0.0,0.0
33,16,0.1594977402931378,0.1322583875911674,0.17153135430590893,0.0,0,0.0,0.0,0.0
34,30,0.2337845363165165,0.10296616786550811,0.29097296878902623,0.0,0,0.0,0.0,0.0
35,18,0.12199072325380383,0.1315054428402457,0.25993483775120124,0.0,0,0.0,0.0,0.0
36,48,0.17699892530385894,0.09980907535110058,0.17435728419934812,0.0,0,0.0,0.0,0.0
37,27,0.13498421086367918,0.05671753999157101,0.1782523625648402,0.0,0,0.0,0.0,0.0
38,13,0.18719581258401735,0.09052480880276888,0.25962442123063145,0.0,0,0.0,0.0,0.0
39,34,0.22947077829835058,0.09974648939798905,0.17342457671882608,0.0,0,0.0,0.0,0.0
40,23,0.2320539952957625,0.12202025816322958,0.1851841940002243,0.0,0,0.0,0.0,0.0
41,18,0.1355027790523118,0.06065787301286744,0.2945020249230598,0.0,0,0.0,0.0,0.0
42,35,0.23615405595228195,0.0640018538660449,0.18829597870926476,0.0,0,0.0,0.0,0.0
43,11,0.18878331082319266,0.07636838026346164,0.249244852555672,0.0,0,0.0,0.0,0.0
44,29,0.15253273700504705,0.07664983933708822,0.29679469311007955,0.0,0,0.0,0.0,0.0
45,37,0.20622717933747997,0.12321845784590624,0.2061445150709689,0.0,0,0.0,0.0,0.0
46,16,0.1722500481946173,0.07507306605615978,0.15262739862930932,0.0,0,0.0,0.0,0.0
47,17,0.15669813851833816,0.11330980633574475,0.18662209356335613,0.0,0,0.0,0.0,0.0
48,44,0.20576265464449897,0.09942738501382714,0.2746315787012558,0.0,0,0.0,0.0,0.0
49,23,0.1373086231645432,0.10732943781794006,0.2796913253932555,0.0,0,0.0,0.0,0.0
50,26,0.14953787935286478,0.13381069631782957,0.26527790467856865,0.0,0,0.0,0.0,0.0
51,45,0.1651677766732407,0.09043815015490243,0.16696647286148594,0.0,0,0.0,0.0,0.0
52,49,0.13805232608097082,0.12709113770642705,0.26932655575446046,0.0,0,0.0,0.0,0.0
53,13,0.16078031301721257,0.09220360595506874,0.28780166954902564,0.0,0,0.0,0.0,0.0
