factor_name,forward_period,ic_mean,ic_std,ic_ir,rank_ic_mean,rank_ic_std,rank_ic_ir,n_periods
momentum_5,20,-0.011433205323817194,0.15878951421722026,-0.07200226904263239,-0.034324580931614126,0.12987895398508487,-0.2642813163983128,1910
volume_ratio,20,-0.028000370584187733,0.06261777288369032,-0.44716330994711606,-0.03074936904048636,0.08265563548131277,-0.37201781658842054,1936
rsi_14,20,-0.019829393019028675,0.11064965944658216,-0.17920880297513814,-0.05484321638849429,0.13635468022556643,-0.40221000333666007,1936
volatility_20,20,-0.02542711502300326,0.2625036569590693,-0.09686385065091861,-0.0717957484617484,0.17128016902566973,-0.41917140127873403,1942
momentum_60,20,-0.02387103944761189,0.12998762720640453,-0.18364085844653186,-0.0639895102044474,0.15200495375406867,-0.4209699001519193,1906
momentum_20,20,-0.030836655086328414,0.13538690057280944,-0.2277669032665744,-0.06785909787082058,0.1409791482641235,-0.48134138066777793,1910
volume_mean_20,20,-0.0319218546470302,0.07150647553926306,-0.44641907472425235,-0.07075907153545265,0.11250493387460112,-0.6289419414647296,1936
