ts_code,error
300394.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
300413.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
300418.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
300442.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
300476.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
300498.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
300502.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
300628.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
300661.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
300750.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
300759.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
300760.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
300782.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
300803.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
300832.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
300866.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
300896.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
300979.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
300999.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
301236.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
301269.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
302132.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600009.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600010.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600011.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600015.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600016.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600018.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600019.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600023.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
